Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.000     0.000     0.000     0.000       42   <Class::HTTP::Message>#file? 
  0.09      0.002     0.000     0.000     0.002       14   HTTP::Message::Body#dump 
  0.09      0.000     0.000     0.000     0.000      104   Array#empty? 
  0.08      0.207     0.000     0.000     0.206       14   UWDC::Mets#initialize 
  0.08      0.032     0.000     0.000     0.032       14   HTTPClient::SessionManager#query 
  0.08      0.000     0.000     0.000     0.000       56   HTTPClient::NegotiateAuth#set? 
  0.08      0.000     0.000     0.000     0.000       28   URI::Generic#default_port 
  0.08      0.006     0.000     0.000     0.006       14   HTTP::Message#dump 
  0.08      0.000     0.000     0.000     0.000       15   HTTPClient::Site#initialize 
  0.08      0.000     0.000     0.000     0.000       98   Array#last 
  0.08      0.000     0.000     0.000     0.000       14   HTTPClient::Session#no_message_body? 
  0.08      0.000     0.000     0.000     0.000       43   Time#initialize 
  0.08      0.000     0.000     0.000     0.000       14   HTTPClient::Site#== 
  0.08      0.001     0.000     0.000     0.001       14   HTTPClient::Connection#pop 
  0.08      0.001     0.000     0.000     0.001       28   HTTP::Message#initialize 
  0.08      0.000     0.000     0.000     0.000       14   URI::Generic#set_port 
  0.08      0.000     0.000     0.000     0.000       14   HTTPClient::Session#eof? 
  0.08      0.000     0.000     0.000     0.000       56   HTTP::Message::Headers#body_size= 
  0.07      0.000     0.000     0.000     0.000       82   Fixnum#<=> 
  0.07      0.001     0.000     0.000     0.000       14   HTTP::Message::Headers#request_line 
  0.07      0.000     0.000     0.000     0.000       28   <Module::Nokogiri>#uses_libxml? 
  0.07      0.000     0.000     0.000     0.000       14   HTTPClient::ProxyAuth#filter_response 
  0.07      0.000     0.000     0.000     0.000       39   HTTP::Message#body_encoding 
  0.07      0.000     0.000     0.000     0.000       59   Mutex#lock 
  0.07      0.001     0.000     0.000     0.001       27   HTTPClient::Site#hash 
  0.07      0.000     0.000     0.000     0.000       82   BasicObject#== 
  0.07      0.000     0.000     0.000     0.000       56   Nokogiri::XML::Document#root 
  0.07      0.000     0.000     0.000     0.000       14   URI::Generic#set_userinfo 
  0.07      0.000     0.000     0.000     0.000      106   String#bytesize 
  0.07      0.000     0.000     0.000     0.000       27   <Class::ActiveSupport::Duration>#=== 
